Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,최형우,삼성,0.376,138,618,519,99,195,46,2,31,338,144,0,7,83,8,9,83,12,0.651,0.464,1.115,58,0.38,0
2,김태균,한화,0.365,144,652,529,94,193,39,0,23,301,136,0,6,108,10,9,97,11,0.569,0.475,1.044,60,0.417,0
3,이용규,한화,0.352,113,530,452,98,159,20,4,3,196,41,7,1,63,1,7,29,7,0.434,0.438,0.872,54,0.374,0
4,김주찬,KIA,0.346,130,555,511,97,177,37,3,23,289,101,1,6,30,1,7,68,13,0.566,0.386,0.952,54,0.421,1
5,박용택,LG,0.346,138,578,509,84,176,24,0,11,233,90,0,7,58,5,4,71,13,0.458,0.412,0.87,52,0.376,0.25
6,구자욱,삼성,0.343,108,495,428,105,147,19,13,14,234,77,2,5,55,1,5,68,4,0.547,0.42,0.967,47,0.352,0.5
7,박민우,NC,0.343,121,515,435,84,149,16,6,3,186,55,10,7,55,1,8,70,9,0.428,0.42,0.848,42,0.434,0
8,유한준,KT,0.336,110,460,408,70,137,22,0,14,201,64,0,3,47,1,2,40,10,0.493,0.404,0.897,43,0.319,0
9,황재균,롯데,0.335,127,559,498,97,167,26,5,27,284,113,0,8,49,5,4,66,10,0.57,0.394,0.964,46,0.411,0.25
10,박건우,두산,0.335,132,540,484,95,162,36,4,20,266,83,4,5,38,0,9,86,9,0.55,0.39,0.94,49,0.331,0.143
11,고종욱,키움,0.334,133,566,527,92,176,22,9,8,240,72,1,5,28,1,5,103,10,0.455,0.37,0.825,52,0.409,0.545
12,김재환,두산,0.325,134,568,492,107,160,32,3,37,309,124,0,5,71,3,0,107,9,0.628,0.407,1.035,48,0.313,0.8
13,송광민,한화,0.325,116,494,449,80,146,27,2,17,228,83,7,6,28,0,4,86,16,0.508,0.366,0.874,43,0.328,0.5
14,김문호,롯데,0.325,140,599,526,77,171,28,3,7,226,70,3,2,62,1,6,70,15,0.43,0.401,0.831,49,0.305,0.429
15,서건창,키움,0.325,140,646,560,111,182,30,7,7,247,63,3,4,69,2,10,58,6,0.441,0.406,0.847,61,0.305,0
16,민병헌,두산,0.325,134,579,511,98,166,31,4,16,253,87,1,4,48,1,15,91,18,0.495,0.396,0.891,48,0.357,0.25
17,손아섭,롯데,0.323,144,672,575,118,186,33,1,16,269,81,0,2,92,1,3,104,4,0.468,0.418,0.886,54,0.331,0
18,강민호,롯데,0.323,116,460,381,65,123,26,0,20,209,72,0,3,66,4,10,91,7,0.549,0.433,0.982,40,0.33,0.333
19,로사리오,한화,0.321,127,532,492,78,158,31,2,33,292,120,1,2,33,3,4,90,16,0.593,0.367,0.96,46,0.348,0.333
20,테임즈,NC,0.321,123,529,436,118,140,30,3,40,296,121,0,7,74,6,12,103,2,0.679,0.427,1.106,45,0.304,1
21,이대형,KT,0.32,143,654,600,89,192,14,3,1,215,42,7,1,44,0,2,90,6,0.358,0.368,0.726,56,0.315,0
22,김성현,SK,0.319,138,530,479,66,153,28,0,8,205,65,5,7,33,0,6,37,13,0.428,0.366,0.794,45,0.322,0.2
23,오재일,두산,0.316,105,455,380,69,120,20,2,27,225,92,2,7,64,2,2,73,5,0.592,0.411,1.003,37,0.295,0.5
24,박경수,KT,0.313,121,476,402,64,126,22,1,20,210,80,0,4,65,2,5,80,9,0.522,0.412,0.934,34,0.325,0
25,채은성,LG,0.313,128,451,403,64,126,20,3,9,179,81,2,8,31,0,7,75,9,0.444,0.365,0.809,39,0.346,0.333
26,필,KIA,0.313,132,544,499,71,156,37,1,20,255,86,0,7,33,0,5,70,16,0.511,0.357,0.868,46,0.284,0.5
27,정의윤,SK,0.311,144,616,576,68,179,32,1,27,294,100,0,5,25,3,10,76,15,0.51,0.347,0.857,56,0.301,0
28,김재호,두산,0.31,137,496,416,69,129,27,3,7,183,78,5,13,57,1,5,52,8,0.44,0.389,0.829,36,0.336,0.333
29,이범호,KIA,0.31,138,560,484,93,150,23,0,33,272,108,0,7,60,7,9,57,15,0.562,0.391,0.953,43,0.314,0.333
30,정근우,한화,0.31,138,650,575,121,178,31,2,18,267,88,1,5,60,2,9,58,14,0.464,0.381,0.845,54,0.388,0
31,나성범,NC,0.309,144,653,572,116,177,37,2,22,284,113,1,4,67,2,9,136,4,0.497,0.388,0.885,56,0.32,0
32,이택근,키움,0.309,127,460,398,64,123,19,1,8,168,65,0,6,53,1,3,56,11,0.422,0.389,0.811,32,0.345,0.25
33,나지완,KIA,0.308,118,486,380,84,117,21,2,25,217,90,0,4,85,1,17,90,8,0.571,0.451,1.022,32,0.304,0.5
34,히메네스,LG,0.308,135,579,523,101,161,36,0,26,275,102,1,6,39,2,10,67,8,0.526,0.363,0.889,40,0.304,0
35,에반스,두산,0.308,118,481,400,69,123,31,0,24,226,81,0,7,69,0,5,90,10,0.565,0.41,0.975,33,0.266,0
36,박석민,NC,0.307,126,506,427,77,131,20,0,32,247,104,2,4,56,2,16,95,18,0.578,0.404,0.982,39,0.354,0
37,김민성,키움,0.306,141,579,510,76,156,39,5,17,256,90,1,12,53,3,3,89,15,0.502,0.367,0.869,47,0.298,0
38,이종욱,NC,0.305,134,517,453,73,138,24,4,5,185,57,4,5,54,0,1,73,11,0.408,0.376,0.784,40,0.315,0.5
39,이승엽,삼성,0.303,142,623,542,91,164,32,2,27,281,118,0,8,65,1,8,89,7,0.518,0.38,0.898,47,0.33,0.5
40,박해민,삼성,0.3,141,641,564,109,169,26,12,4,231,61,22,3,49,2,3,87,6,0.41,0.357,0.767,51,0.299,0
41,이호준,NC,0.298,119,472,399,46,119,20,0,21,202,87,2,4,65,6,2,78,11,0.506,0.396,0.902,33,0.342,0.8
42,대니돈,키움,0.295,129,497,417,65,123,33,1,16,206,70,1,4,70,4,5,72,8,0.494,0.399,0.893,34,0.297,0.111
43,서동욱,KIA,0.292,124,485,411,73,120,30,3,16,204,67,6,3,60,1,5,108,8,0.496,0.386,0.882,31,0.308,0.333
44,이재원,SK,0.29,130,472,411,49,119,15,0,15,179,64,2,7,43,3,9,76,15,0.436,0.364,0.8,33,0.25,0.5
45,최정,SK,0.288,141,606,500,106,144,24,1,40,290,106,0,6,77,2,23,126,6,0.58,0.403,0.983,42,0.278,0
46,백상원,삼성,0.288,132,517,445,60,128,19,3,3,162,49,10,7,51,0,4,69,15,0.364,0.361,0.725,33,0.311,0.333
47,허경민,두산,0.286,144,609,538,96,154,24,4,7,207,81,6,2,49,1,14,58,14,0.385,0.36,0.745,43,0.321,0
48,고메즈,SK,0.283,117,492,456,74,129,31,0,21,223,62,2,4,25,2,5,87,11,0.489,0.324,0.813,39,0.297,0
49,김하성,키움,0.281,144,599,526,92,148,29,7,20,251,84,2,5,60,2,6,80,7,0.477,0.358,0.835,36,0.315,0
