Team,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF
STL,100,62,0.617,-,55-26,45-36,647,525,122
PIT,98,64,0.605,2,53-28,45-36,697,596,101
CHC,97,65,0.599,3,49-32,48-33,689,608,81
KC,95,67,0.586,5,51-30,44-37,724,641,83
TOR,93,69,0.574,7,53-28,40-41,891,670,221
LAD,92,70,0.568,8,55-26,37-44,667,595,72
NYM,90,72,0.556,10,49-32,41-40,683,613,70
TEX,88,74,0.543,12,43-38,45-36,751,733,18
NYY,87,75,0.537,13,45-36,42-39,764,698,66
HOU,86,76,0.531,14,53-28,33-48,729,618,111
LAA,85,77,0.525,15,49-32,36-45,661,675,-14
SF,84,78,0.519,16,47-34,37-44,696,627,69
WAS,83,79,0.512,17,46-35,37-44,703,635,68
MIN,83,79,0.512,17,46-35,37-44,696,700,-4
CLE,81,80,0.503,18.5,39-41,42-39,669,640,29
BAL,81,81,0.5,19,47-31,34-50,713,693,20
TB,80,82,0.494,20,42-42,38-40,644,642,2
ARZ,79,83,0.488,21,39-42,40-41,720,713,7
BOS,78,84,0.481,22,43-38,35-46,748,753,-5
CHW,76,86,0.469,24,40-41,36-45,622,701,-79
SEA,76,86,0.469,24,36-45,40-41,656,726,-70
DET,74,87,0.46,25.5,38-43,36-44,689,803,-114
SD,74,88,0.457,26,39-42,35-46,650,731,-81
MIA,71,91,0.438,29,41-40,30-51,613,678,-65
COL,68,94,0.42,32,36-45,32-49,737,844,-107
MIL,68,94,0.42,32,34-47,34-47,655,737,-82
OAK,68,94,0.42,32,34-47,34-47,694,729,-35
ATL,67,95,0.414,33,42-39,25-56,573,760,-187
CIN,64,98,0.395,36,34-47,30-51,640,754,-114
PHI,63,99,0.389,37,37-44,26-55,626,809,-183
